Module: XMA34661,  Exam Date: 15-05-2012, Time: 09:30,  Keyholder: WILKINS, DR. DAVID RAYNOR, Keyholder E-mail: dwilkins@tcd.ie, Examiner(s): LOGAN, MS. FIONNUALA

Anon No.	Seat	Crs	Yr	Course Name	Marks
10542	164	082042087	3	Two Subject Moderatorship	
13626	165	082086170	4	Two Subject Moderatorship	
17789	166	082086170	4	Two Subject Moderatorship	
20811	167	082086170	4	Two Subject Moderatorship	
22978	168	082087	4		
14630	169	082087083	3	Two Subject Moderatorship	
21238	170	082087083	3	Two Subject Moderatorship	
18751	171	082087089	3	Two Subject Moderatorship	
16648	172	089	3	Mathematics	
10875	173	089	3	Mathematics	
10914	174	089	3	Mathematics	
10980	175	089	3	Mathematics	
12258	176	089	3	Mathematics	
14246	177	089	3	Mathematics	
15157	178	089	3	Mathematics	
17039	179	089	3	Mathematics	
18482	180	089	3	Mathematics	
18485	181	089	3	Mathematics	
19396	182	089	3	Mathematics	
20726	183	089	3	Mathematics	
22005	184	089	3	Mathematics	
22690	185	089	3	Mathematics	
23734	186	089	3	Mathematics	
10050	187	089	4	Mathematics	
10676	188	089	4	Mathematics	
11396	189	089	4	Mathematics	
11463	190	089	4	Mathematics	
13731	191	089	4	Mathematics	
14011	192	089	4	Mathematics	
14285	193	089	4	Mathematics	
14334	194	089	4	Mathematics	
14478	195	089	4	Mathematics	
15411	196	089	4	Mathematics	
15545	197	089	4	Mathematics	
16081	198	089	4	Mathematics	
16872	199	089	4	Mathematics	
17528	200	089	4	Mathematics	
17839	201	089	4	Mathematics	
18136	202	089	4	Mathematics	
18237	203	089	4	Mathematics	
19330	204	089	4	Mathematics	
20150	205	089	4	Mathematics	
20400	206	089	4	Mathematics	
20491	207	089	4	Mathematics	
20819	208	089	4	Mathematics	
20890	209	089	4	Mathematics	
22663	210	089	4	Mathematics	
22919	211	089	4	Mathematics	
23172	212	089	4	Mathematics	
10776	213	404	4	Theoretical Physics	
13243	214	404	4	Theoretical Physics	
13367	215	404	4	Theoretical Physics	
16899	216	404	4	Theoretical Physics	
17443	217	404	4	Theoretical Physics	
17780	218	404	4	Theoretical Physics	
20330	219	404	4	Theoretical Physics	
21512	220	404	4	Theoretical Physics	
not available	221	626	1	M.Sc in High Performance Computing	
not available	222	626	1	M.Sc in High Performance Computing	

Room used for exam: LUCE UPPER
